datetime,timestamp,user,src,out,time
2020-08-02 00:03:48,1596326628,162362,手套武器箱,MP7 | 卷云,1596326628
2020-08-02 00:03:47,1596326627,337965,棱彩武器箱,AK-47 | 迷踪秘境,1596326627
2020-08-02 00:03:46,1596326626,292268,命悬—线武器箱,SG 553 | 阿罗哈,1596326626
2020-08-02 00:03:45,1596326625,60427,“头号特训”武器箱,截短霰弹枪 | 黑砂,1596326625
2020-08-02 00:03:43,1596326623,352797,命悬—线武器箱,R8 左轮手枪（StatTrak™） | 稳,1596326623
2020-08-02 00:03:43,1596326623,337965,棱彩武器箱,加利尔 AR | 战吼斑纹,1596326623
2020-08-02 00:03:40,1596326620,352797,命悬—线武器箱,P2000 | 都市危机,1596326620
2020-08-02 00:03:38,1596326618,337965,棱彩武器箱,MP5-SD | 高斯,1596326618
2020-08-02 00:03:35,1596326615,288469,反恐精英20周年武器箱,格洛克 18 型 | 烈焰天使,1596326615
2020-08-02 00:03:34,1596326614,337965,棱彩武器箱,MAC-10 | 白鲑鱼,1596326614
2020-08-02 00:03:31,1596326611,60427,“头号特训”武器箱,新星 | 灼木,1596326611
2020-08-02 00:03:31,1596326611,337965,棱彩武器箱,加利尔 AR（StatTrak™） | 战吼斑纹,1596326611
2020-08-02 00:03:29,1596326609,213794,《半衰期：爱莉克斯》印花胶囊,印花 | 联合军头盔（全息）,1596326609
2020-08-02 00:03:28,1596326608,229000,幻彩 2 号武器箱,内格夫 | 无畏战神,1596326608
2020-08-02 00:03:27,1596326607,337965,棱彩武器箱,MAC-10 | 白鲑鱼,1596326607
2020-08-02 00:03:24,1596326604,352797,命悬—线武器箱,XM1014 | 锈蚀烈焰,1596326604
2020-08-02 00:03:23,1596326603,292268,命悬—线武器箱,R8 左轮手枪（StatTrak™） | 稳,1596326603
2020-08-02 00:03:23,1596326603,337965,棱彩武器箱,加利尔 AR | 战吼斑纹,1596326603
2020-08-02 00:03:21,1596326601,352797,命悬—线武器箱,R8 左轮手枪 | 稳,1596326601
2020-08-02 00:03:19,1596326599,337965,棱彩武器箱,沙漠之鹰 | 轻轨,1596326599
2020-08-02 00:03:18,1596326598,352797,命悬—线武器箱,FN57 | 焰色反应,1596326598
2020-08-02 00:03:17,1596326597,60427,“头号特训”武器箱,MP9 | 中度威胁,1596326597
2020-08-02 00:03:16,1596326596,363651,棱彩2号武器箱,AWP | 毛细血管,1596326596
2020-08-02 00:03:15,1596326595,337965,棱彩武器箱,MAC-10 | 白鲑鱼,1596326595
2020-08-02 00:03:13,1596326593,352797,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596326593
2020-08-02 00:03:13,1596326593,316862,反恐精英20周年武器箱,Tec-9 | 闪光舞步,1596326593
2020-08-02 00:03:13,1596326593,14273,命悬—线武器箱,SG 553 | 阿罗哈,1596326593
2020-08-02 00:03:11,1596326591,337965,棱彩武器箱,P90 | 异星世界,1596326591
2020-08-02 00:03:10,1596326590,352797,命悬—线武器箱,XM1014（StatTrak™） | 锈蚀烈焰,1596326590
2020-08-02 00:03:08,1596326588,376190,命悬—线武器箱,FN57 | 焰色反应,1596326588
2020-08-02 00:03:07,1596326587,266123,“头号特训”武器箱,MP9 | 中度威胁,1596326587
2020-08-02 00:03:06,1596326586,292268,命悬—线武器箱,FN57 | 焰色反应,1596326586
2020-08-02 00:03:06,1596326586,352797,命悬—线武器箱,AUG | 湖怪鸟,1596326586
2020-08-02 00:03:03,1596326583,60427,“头号特训”武器箱,MAC-10 | 销声,1596326583
2020-08-02 00:03:02,1596326582,114270,命悬—线武器箱,R8 左轮手枪 | 稳,1596326582
2020-08-02 00:03:01,1596326581,181638,反恐精英20周年武器箱,Tec-9 | 闪光舞步,1596326581
2020-08-02 00:03:01,1596326581,352797,命悬—线武器箱,格洛克 18 型 | 城里的月光,1596326581
2020-08-02 00:03:01,1596326581,194983,反恐精英20周年印花胶囊,印花 | 豚鼠 (全息),1596326581
2020-08-02 00:03:00,1596326580,330407,反恐精英20周年印花胶囊,印花 | 周一无战事,1596326580
2020-08-02 00:02:58,1596326578,352797,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596326578
2020-08-02 00:02:55,1596326575,352797,命悬—线武器箱,P2000 | 都市危机,1596326575
2020-08-02 00:02:53,1596326573,166123,光谱武器箱,SCAR-20 | 蓝图,1596326573
2020-08-02 00:02:52,1596326572,292268,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596326572
2020-08-02 00:02:51,1596326571,337965,棱彩武器箱,P90 | 异星世界,1596326571
2020-08-02 00:02:50,1596326570,352797,命悬—线武器箱,XM1014（StatTrak™） | 锈蚀烈焰,1596326570
2020-08-02 00:02:49,1596326569,194983,反恐精英20周年印花胶囊,印花 | 像素复仇者,1596326569
2020-08-02 00:02:49,1596326569,60427,“头号特训”武器箱,截短霰弹枪 | 黑砂,1596326569
2020-08-02 00:02:48,1596326568,24945,“凤凰大行动”武器箱,AWP | 二西莫夫,1596326568
2020-08-02 00:02:47,1596326567,337965,棱彩武器箱,MP7 | 恶作剧,1596326567
2020-08-02 00:02:47,1596326567,352797,命悬—线武器箱,MP9 | 黑砂,1596326567
2020-08-02 00:02:45,1596326565,288469,“头号特训”武器箱,截短霰弹枪 | 黑砂,1596326565
2020-08-02 00:02:44,1596326564,85983,命悬—线武器箱,P2000 | 都市危机,1596326564
2020-08-02 00:02:43,1596326563,352797,命悬—线武器箱,新星 | 狂野六号,1596326563
2020-08-02 00:02:43,1596326563,337965,棱彩武器箱,AK-47 | 迷踪秘境,1596326563
2020-08-02 00:02:42,1596326562,91726,“头号特训”武器箱,P250 | 影魔,1596326562
2020-08-02 00:02:40,1596326560,352797,命悬—线武器箱,格洛克 18 型 | 城里的月光,1596326560
2020-08-02 00:02:39,1596326559,194983,反恐精英20周年印花胶囊,印花 | 太晚了,1596326559
2020-08-02 00:02:38,1596326558,337965,棱彩武器箱,P90（StatTrak™） | 异星世界,1596326558
2020-08-02 00:02:37,1596326557,92049,“头号特训”武器箱,MAC-10（StatTrak™） | 销声,1596326557
2020-08-02 00:02:37,1596326557,352797,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596326557
2020-08-02 00:02:35,1596326555,292268,命悬—线武器箱,P2000 | 都市危机,1596326555
2020-08-02 00:02:35,1596326555,60427,“头号特训”武器箱,新星 | 灼木,1596326555
2020-08-02 00:02:35,1596326555,197218,反恐精英20周年武器箱,MAC-10（StatTrak™） | 板条箱,1596326555
2020-08-02 00:02:34,1596326554,337965,棱彩武器箱,P250 | 铜绿,1596326554
2020-08-02 00:02:33,1596326553,352797,命悬—线武器箱,USP 消音版 | 脑洞大开,1596326553
2020-08-02 00:02:31,1596326551,281540,棱彩2号武器箱,CZ75 | 做旧手艺,1596326551
2020-08-02 00:02:30,1596326550,29352,光谱 2 号武器箱,G3SG1 | 猎人,1596326550
2020-08-02 00:02:30,1596326550,337965,棱彩武器箱,加利尔 AR | 战吼斑纹,1596326550
2020-08-02 00:02:27,1596326547,97881,棱彩武器箱,AK-47 | 迷踪秘境,1596326547
2020-08-02 00:02:26,1596326546,337965,棱彩武器箱,MAC-10（StatTrak™） | 白鲑鱼,1596326546
2020-08-02 00:02:25,1596326545,266123,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1596326545
2020-08-02 00:02:24,1596326544,352797,命悬—线武器箱,FN57 | 焰色反应,1596326544
2020-08-02 00:02:21,1596326541,337965,棱彩武器箱,P250（StatTrak™） | 铜绿,1596326541
2020-08-02 00:02:20,1596326540,60427,“头号特训”武器箱,MP9 | 中度威胁,1596326540
2020-08-02 00:02:19,1596326539,352797,命悬—线武器箱,MP9 | 黑砂,1596326539
2020-08-02 00:02:16,1596326536,166123,光谱武器箱,沙漠之鹰 | 锈蚀烈焰,1596326536
2020-08-02 00:02:16,1596326536,352797,命悬—线武器箱,SG 553 | 阿罗哈,1596326536
2020-08-02 00:02:14,1596326534,29352,光谱 2 号武器箱,MAC-10 | 海洋,1596326534
2020-08-02 00:02:13,1596326533,352797,命悬—线武器箱,MAG-7 | SWAG-7,1596326533
2020-08-02 00:02:10,1596326530,352797,命悬—线武器箱,P2000 | 都市危机,1596326530
2020-08-02 00:02:09,1596326529,114270,反恐精英20周年武器箱,SCAR-20 | 仓库突击,1596326529
2020-08-02 00:02:08,1596326528,337965,棱彩武器箱,MP7 | 恶作剧,1596326528
