datetime,timestamp,user,src,out,time
2020-08-20 00:13:01,1597882381,129479,左轮武器箱,AUG（StatTrak™） | 弹跳线条,1597882381
2020-08-20 00:12:59,1597882379,364846,决策大师音乐盒集,音乐盒 | Dren — 枪炮卷饼卡车,1597882379
2020-08-20 00:12:58,1597882378,63570,伽玛 2 号武器箱,UMP-45 | 简报,1597882378
2020-08-20 00:12:56,1597882376,182957,手套武器箱,MAG-7 | 声纳,1597882376
2020-08-20 00:12:53,1597882373,160154,命悬—线武器箱,R8 左轮手枪 | 稳,1597882373
2020-08-20 00:12:49,1597882369,160154,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1597882369
2020-08-20 00:12:47,1597882367,247699,幻彩 2 号武器箱,截短霰弹枪 | 千纸鹤,1597882367
2020-08-20 00:12:45,1597882365,24406,命悬—线武器箱,UMP-45 | 白狼,1597882365
2020-08-20 00:12:44,1597882364,160154,命悬—线武器箱,R8 左轮手枪 | 稳,1597882364
2020-08-20 00:12:43,1597882363,156456,“头号特训”武器箱,MP9 | 中度威胁,1597882363
2020-08-20 00:12:41,1597882361,182957,手套武器箱,MP9 | 砂垢,1597882361
2020-08-20 00:12:40,1597882360,132385,伽玛武器箱,P250 | 铠甲,1597882360
2020-08-20 00:12:40,1597882360,63872,Fracture Case,P90 | Freight,1597882360
2020-08-20 00:12:39,1597882359,129479,左轮武器箱,R8 左轮手枪 | 深红之网,1597882359
2020-08-20 00:12:39,1597882359,260795,“头号特训”武器箱,新星 | 灼木,1597882359
2020-08-20 00:12:33,1597882353,355538,Fracture Case,P2000 | Gnarled,1597882353
2020-08-20 00:12:31,1597882351,257546,棱彩2号武器箱,SG 553 | 黯翼,1597882351
2020-08-20 00:12:29,1597882349,341645,左轮武器箱,SG 553 | 豹灯蛾,1597882349
2020-08-20 00:12:25,1597882345,355841,伽玛 2 号武器箱,CZ75 | 印花板,1597882345
2020-08-20 00:12:25,1597882345,182957,手套武器箱,MAG-7 | 声纳,1597882345
2020-08-20 00:12:18,1597882338,182957,手套武器箱,格洛克 18 型 | 铁之作,1597882338
2020-08-20 00:12:15,1597882335,358947,反恐精英20周年武器箱,P90 | 往日行动,1597882335
2020-08-20 00:12:14,1597882334,160154,命悬—线武器箱,P2000 | 都市危机,1597882334
2020-08-20 00:12:14,1597882334,182957,手套武器箱,CZ75 | 聚合物,1597882334
2020-08-20 00:12:13,1597882333,247699,地平线武器箱,格洛克 18 型 | 战鹰,1597882333
2020-08-20 00:12:10,1597882330,162808,命悬—线武器箱,PP-野牛 | 黑夜暴乱,1597882330
2020-08-20 00:12:09,1597882329,182957,手套武器箱,格洛克 18 型 | 铁之作,1597882329
2020-08-20 00:12:09,1597882329,160154,命悬—线武器箱,P2000 | 都市危机,1597882329
2020-08-20 00:12:04,1597882324,124093,反恐精英20周年武器箱,双持贝瑞塔（StatTrak™） | 1.6精英,1597882324
2020-08-20 00:12:01,1597882321,160154,命悬—线武器箱,SG 553 | 阿罗哈,1597882321
2020-08-20 00:11:56,1597882316,12715,伽玛 2 号武器箱,P90 | 冷血无情,1597882316
2020-08-20 00:11:54,1597882314,182957,手套武器箱,USP 消音版 | 次时代,1597882314
2020-08-20 00:11:53,1597882313,51392,命悬—线武器箱,XM1014（StatTrak™） | 锈蚀烈焰,1597882313
2020-08-20 00:11:50,1597882310,124093,反恐精英20周年武器箱,MAC-10 | 板条箱,1597882310
2020-08-20 00:11:50,1597882310,336862,“突围大行动”武器箱,UMP-45 | 迷之宫,1597882310
