datetime,timestamp,user,src,out,time
2023-03-22 00:00:00,1679443200,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | blameF | 2022年安特卫普锦标赛,1679443200
2023-03-22 00:00:00,1679443200,AT***-XYHL,变革武器箱,AWP | 金粉肆蛇,1679443200
2023-03-22 00:00:01,1679443201,AV***-Q8ZJ,2022年安特卫普锦标赛竞争组印花胶囊,印花 | Renegades | 2022年安特卫普锦标赛,1679443201
2023-03-22 00:00:01,1679443201,SP***-W4YL,2022年里约热内卢锦标赛挑战组亲笔签名胶囊,印花 | sh1ro | 2022年里约热内卢锦标赛,1679443201
2023-03-22 00:00:02,1679443202,AS***-8FTA,2020 RMR 竞争组战队胶囊,印花 | TYLOO | 2020 RMR,1679443202
2023-03-22 00:00:02,1679443202,S7***-ZWUE,梦魇武器箱,FN57 | 涂鸦潦草,1679443202
2023-03-22 00:00:04,1679443204,SU***-TBGQ,2022年里约热内卢锦标赛炙热沙城 II 纪念包,R8 左轮手枪（纪念品） | 沙漠伪装,1679443204
2023-03-22 00:00:05,1679443205,AK***-YAVN,2020 RMR 传奇组战队胶囊,印花 | 100 Thieves | 2020 RMR,1679443205
2023-03-22 00:00:05,1679443205,SG***-4NNE,间谍印花胶囊,印花 | 无限三角（全息）,1679443205
2023-03-22 00:00:05,1679443205,S6***-UVZJ,命悬一线武器箱,MAG-7 | SWAG-7,1679443205
2023-03-22 00:00:05,1679443205,SX***-J6XC,2020 RMR 竞争组战队胶囊,印花 | Virtus.pro（全息）| 2020 RMR,1679443205
2023-03-22 00:00:07,1679443207,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | boltz | 2022年安特卫普锦标赛,1679443207
2023-03-22 00:00:07,1679443207,AS***-GTQN,梦魇武器箱,截短霰弹枪 | 灵应牌,1679443207
2023-03-22 00:00:08,1679443208,AN***-UTHC,裂空武器箱,P90 | 集装箱,1679443208
2023-03-22 00:00:09,1679443209,AL***-BTYL,间谍印花胶囊,印花 | 吊打,1679443209
2023-03-22 00:00:10,1679443210,ST***-Y3SC,反恐精英涂鸦箱,封装的涂鸦 | 吻,1679443210
2023-03-22 00:00:10,1679443210,SY***-2YPG,2022年里约热内卢锦标赛竞争组亲笔签名胶囊,印花 | kabal | 2022年里约热内卢锦标赛,1679443210
2023-03-22 00:00:13,1679443213,AV***-Q8ZJ,2022年安特卫普锦标赛竞争组印花胶囊,印花 | Complexity Gaming | 2022年安特卫普锦标赛,1679443213
2023-03-22 00:00:13,1679443213,SG***-4NNE,间谍印花胶囊,印花 | 优雅凝视（闪亮）,1679443213
2023-03-22 00:00:15,1679443215,AS***-8FTA,2020 RMR 竞争组战队胶囊,印花 | Renegades | 2020 RMR,1679443215
2023-03-22 00:00:15,1679443215,S2***-CBNJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | hades（闪耀） | 2022年安特卫普锦标赛,1679443215
2023-03-22 00:00:15,1679443215,S8***-T7SA,CS:GO 10周年印花胶囊,印花 | 小三头犬,1679443215
2023-03-22 00:00:16,1679443216,SP***-W4YL,2022年里约热内卢锦标赛挑战组亲笔签名胶囊,印花 | apEX（全息）| 2022年里约热内卢锦标赛,1679443216
2023-03-22 00:00:17,1679443217,S6***-UVZJ,命悬一线武器箱,AWP | 死神,1679443217
2023-03-22 00:00:19,1679443219,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | Tuurtle | 2022年安特卫普锦标赛,1679443219
2023-03-22 00:00:20,1679443220,S6***-7NEA,伽玛武器箱,Tec-9 | 冰冠,1679443220
2023-03-22 00:00:21,1679443221,AT***-XYHL,变革武器箱,AWP（StatTrak™） | 金粉肆蛇,1679443221
2023-03-22 00:00:22,1679443222,SG***-4NNE,间谍印花胶囊,印花 | 小T快润,1679443222
2023-03-22 00:00:22,1679443222,AL***-BTYL,间谍印花胶囊,印花 | 飘雪（闪耀）,1679443222
2023-03-22 00:00:23,1679443223,S8***-T7SA,CS:GO 10周年印花胶囊,印花 | 小宝咆哮,1679443223
2023-03-22 00:00:23,1679443223,AD***-3NQA,裂空武器箱,SSG 08 | 主机001,1679443223
2023-03-22 00:00:24,1679443224,AV***-Q8ZJ,2022年安特卫普锦标赛竞争组印花胶囊,印花 | PGL | 2022年安特卫普锦标赛,1679443224
2023-03-22 00:00:24,1679443224,SX***-J6XC,2020 RMR 竞争组战队胶囊,印花 | Virtus.pro | 2020 RMR,1679443224
2023-03-22 00:00:25,1679443225,S2***-CBNJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | Spinx | 2022年安特卫普锦标赛,1679443225
2023-03-22 00:00:25,1679443225,SG***-9FHE,梦魇武器箱,SCAR-20 | 暗夜活死鸡,1679443225
2023-03-22 00:00:28,1679443228,SU***-TBGQ,2022年里约热内卢锦标赛炙热沙城 II 纪念包,P90（纪念品） | 沙漠 DDPAT,1679443228
2023-03-22 00:00:28,1679443228,S6***-UVZJ,命悬一线武器箱,MAG-7 | SWAG-7,1679443228
2023-03-22 00:00:28,1679443228,ST***-Y3SC,反恐精英涂鸦箱,封装的涂鸦 | 欢迎翻盘,1679443228
2023-03-22 00:00:29,1679443229,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | juanflatroo | 2022年安特卫普锦标赛,1679443229
2023-03-22 00:00:30,1679443230,AH***-LFTL,2022年里约热内卢锦标赛竞争组印花胶囊,印花 | Outsiders（闪耀）| 2022年里约热内卢锦标赛,1679443230
2023-03-22 00:00:30,1679443230,SG***-4NNE,间谍印花胶囊,印花 | 疯狂星期一,1679443230
2023-03-22 00:00:31,1679443231,S6***-UVZJ,命悬一线武器箱,XM1014 | 锈蚀烈焰,1679443231
2023-03-22 00:00:32,1679443232,SP***-W4YL,2022年里约热内卢锦标赛挑战组亲笔签名胶囊,印花 | apEX（金色）| 2022年里约热内卢锦标赛,1679443232
2023-03-22 00:00:33,1679443233,AT***-XYHL,变革武器箱,MAG-7 | 鱼长梦短,1679443233
2023-03-22 00:00:34,1679443234,S2***-CBNJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | k0nfig | 2022年安特卫普锦标赛,1679443234
2023-03-22 00:00:34,1679443234,SU***-TBGQ,2022年里约热内卢锦标赛炙热沙城 II 纪念包,SG 553（纪念品） | 白骨,1679443234
2023-03-22 00:00:35,1679443235,AV***-Q8ZJ,2022年安特卫普锦标赛竞争组印花胶囊,印花 | 9z Team | 2022年安特卫普锦标赛,1679443235
2023-03-22 00:00:35,1679443235,S6***-UVZJ,命悬一线武器箱,FN57 | 焰色反应,1679443235
2023-03-22 00:00:35,1679443235,AL***-BTYL,间谍印花胶囊,印花 | 闪电猫,1679443235
2023-03-22 00:00:36,1679443236,AS***-8FTA,2020 RMR 竞争组战队胶囊,印花 | ESPADA | 2020 RMR,1679443236
2023-03-22 00:00:37,1679443237,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | huNter（闪耀） | 2022年安特卫普锦标赛,1679443237
2023-03-22 00:00:37,1679443237,SP***-UDBC,“头号特训”武器箱,UMP-45 | 动量,1679443237
2023-03-22 00:00:38,1679443238,S6***-UVZJ,命悬一线武器箱,MP9 | 黑砂,1679443238
2023-03-22 00:00:38,1679443238,SU***-TBGQ,2022年里约热内卢锦标赛炙热沙城 II 纪念包,R8 左轮手枪（纪念品） | 沙漠伪装,1679443238
2023-03-22 00:00:38,1679443238,SG***-4NNE,间谍印花胶囊,印花 | 6,1679443238
2023-03-22 00:00:40,1679443240,AT***-XYHL,变革武器箱,MP5-SD | 液化,1679443240
2023-03-22 00:00:41,1679443241,S6***-UVZJ,命悬一线武器箱,XM1014 | 锈蚀烈焰,1679443241
2023-03-22 00:00:44,1679443244,SX***-J6XC,2020 RMR 竞争组战队胶囊,印花 | North | 2020 RMR,1679443244
2023-03-22 00:00:44,1679443244,S6***-7NEA,梦魇武器箱,SCAR-20 | 暗夜活死鸡,1679443244
2023-03-22 00:00:45,1679443245,S6***-UVZJ,命悬一线武器箱,R8 左轮手枪 | 稳,1679443245
2023-03-22 00:00:46,1679443246,SG***-4NNE,间谍印花胶囊,印花 | 大力雷手,1679443246
2023-03-22 00:00:47,1679443247,AL***-BTYL,间谍印花胶囊,印花 | 小T快润,1679443247
2023-03-22 00:00:48,1679443248,AV***-Q8ZJ,2022年安特卫普锦标赛竞争组印花胶囊,印花 | Renegades | 2022年安特卫普锦标赛,1679443248
2023-03-22 00:00:50,1679443250,SP***-UDBC,“头号特训”武器箱,MP9（StatTrak™） | 中度威胁,1679443250
2023-03-22 00:00:50,1679443250,AD***-XLSJ,2022年安特卫普锦标赛挑战组亲笔签名胶囊,印花 | dupreeh | 2022年安特卫普锦标赛,1679443250
2023-03-22 00:00:51,1679443251,AT***-XYHL,变革武器箱,P250 | 重构,1679443251
