datetime,timestamp,user,src,out,time
2023-04-27 00:00:41,1682553641,SM***-QTFG,Anubis Collection Package,M249 | Submerged,1682553641
2023-04-27 00:00:42,1682553642,AX***-ADXA,棱彩2号武器箱,SSG 08 | 浮生如梦,1682553642
2023-04-27 00:00:43,1682553643,AK***-78NN,Anubis Collection Package,XM1014 | Hieroglyph,1682553643
2023-04-27 00:00:45,1682553645,AL***-Z2WJ,裂空武器箱,MAG-7 | 北冥有鱼,1682553645
2023-04-27 00:00:48,1682553648,S7***-QAVJ,Anubis Collection Package,MP7 | Sunbaked,1682553648
2023-04-27 00:00:48,1682553648,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 咕 咕 咕,1682553648
2023-04-27 00:00:48,1682553648,S4***-95QG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553648
2023-04-27 00:00:49,1682553649,A9***-P2VC,Anubis Collection Package,MP7 | Sunbaked,1682553649
2023-04-27 00:00:51,1682553651,AM***-VJVE,Anubis Collection Package,M249 | Submerged,1682553651
2023-04-27 00:00:53,1682553653,SJ***-VECA,变革武器箱,M4A1 消音型 | 隐伏帝王龙,1682553653
2023-04-27 00:00:55,1682553655,A6***-ZNGL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553655
2023-04-27 00:00:56,1682553656,S4***-95QG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553656
2023-04-27 00:00:58,1682553658,S5***-L2SL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553658
2023-04-27 00:01:00,1682553660,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 给个闪 TT,1682553660
2023-04-27 00:01:00,1682553660,AB***-MLXA,梦魇武器箱,M4A1 消音型 | 夜无眠,1682553660
2023-04-27 00:01:02,1682553662,AV***-M7VC,间谍印花胶囊,印花 | 不是机器人,1682553662
2023-04-27 00:01:02,1682553662,A5***-W5XJ,Anubis Collection Package,AUG | Snake Pit,1682553662
2023-04-27 00:01:02,1682553662,AE***-BZPJ,Anubis Collection Package,AUG | Snake Pit,1682553662
2023-04-27 00:01:03,1682553663,S4***-WQWJ,反冲武器箱,MAC-10（StatTrak™） | 萌猴迷彩,1682553663
2023-04-27 00:01:03,1682553663,AM***-4BFG,Anubis Collection Package,MAC-10 | Echoing Sands,1682553663
2023-04-27 00:01:03,1682553663,S4***-95QG,Anubis Collection Package,MP7 | Sunbaked,1682553663
2023-04-27 00:01:06,1682553666,AD***-TSFJ,Anubis Collection Package,XM1014 | Hieroglyph,1682553666
2023-04-27 00:01:08,1682553668,S5***-L2SL,Anubis Collection Package,MP7 | Sunbaked,1682553668
2023-04-27 00:01:09,1682553669,AR***-L3UL,Anubis Collection Package,USP 消音版 | Desert Tactical,1682553669
2023-04-27 00:01:11,1682553671,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | GO,1682553671
2023-04-27 00:01:12,1682553672,AR***-L3UL,Anubis Collection Package,AUG | Snake Pit,1682553672
2023-04-27 00:01:15,1682553675,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553675
2023-04-27 00:01:15,1682553675,S4***-95QG,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553675
2023-04-27 00:01:16,1682553676,AS***-YYDQ,命悬一线武器箱,PP-野牛（StatTrak™） | 黑夜暴乱,1682553676
2023-04-27 00:01:17,1682553677,AR***-L3UL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553677
2023-04-27 00:01:17,1682553677,AD***-P5VJ,2020 RMR 竞争组战队胶囊,印花 | FaZe | 2020 RMR,1682553677
2023-04-27 00:01:19,1682553679,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553679
2023-04-27 00:01:20,1682553680,AE***-BZPJ,Anubis Collection Package,AUG | Snake Pit,1682553680
2023-04-27 00:01:21,1682553681,A9***-P2VC,Anubis Collection Package,AUG | Snake Pit,1682553681
2023-04-27 00:01:22,1682553682,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 痛苦列车（全息）,1682553682
2023-04-27 00:01:22,1682553682,AR***-L3UL,Anubis Collection Package,Tec-9 | Mummy's Rot,1682553682
2023-04-27 00:01:23,1682553683,AF***-RRAG,“突围大行动”武器箱,UMP-45 | 迷之宫,1682553683
2023-04-27 00:01:23,1682553683,S4***-95QG,Anubis Collection Package,MP7 | Sunbaked,1682553683
2023-04-27 00:01:24,1682553684,SL***-S4UJ,棱彩2号武器箱,截短霰弹枪 | 启示录,1682553684
2023-04-27 00:01:24,1682553684,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553684
2023-04-27 00:01:27,1682553687,AR***-L3UL,Anubis Collection Package,AUG | Snake Pit,1682553687
2023-04-27 00:01:28,1682553688,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553688
2023-04-27 00:01:30,1682553690,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553690
2023-04-27 00:01:30,1682553690,A9***-P2VC,Anubis Collection Package,XM1014 | Hieroglyph,1682553690
2023-04-27 00:01:30,1682553690,AS***-YYDQ,Anubis Collection Package,USP 消音版 | Desert Tactical,1682553690
2023-04-27 00:01:30,1682553690,S4***-95QG,Anubis Collection Package,MP7 | Sunbaked,1682553690
2023-04-27 00:01:32,1682553692,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553692
2023-04-27 00:01:33,1682553693,AF***-RRAG,“突围大行动”武器箱,内格夫 | 沙漠精英,1682553693
2023-04-27 00:01:33,1682553693,S4***-95QG,Anubis Collection Package,M249 | Submerged,1682553693
2023-04-27 00:01:34,1682553694,AR***-L3UL,Anubis Collection Package,R8 左轮手枪 | Inlay,1682553694
2023-04-27 00:01:35,1682553695,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 蓝钻（闪耀）,1682553695
2023-04-27 00:01:36,1682553696,AM***-4BFG,Anubis Collection Package,MP7 | Sunbaked,1682553696
2023-04-27 00:01:36,1682553696,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553696
2023-04-27 00:01:37,1682553697,AF***-RRAG,“突围大行动”武器箱,UMP-45 | 迷之宫,1682553697
2023-04-27 00:01:38,1682553698,SV***-9LPN,变革武器箱,MP5-SD | 液化,1682553698
2023-04-27 00:01:38,1682553698,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553698
2023-04-27 00:01:38,1682553698,AE***-BZPJ,Anubis Collection Package,M249 | Submerged,1682553698
2023-04-27 00:01:39,1682553699,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553699
2023-04-27 00:01:39,1682553699,A9***-P2VC,Anubis Collection Package,MP7 | Sunbaked,1682553699
2023-04-27 00:01:40,1682553700,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553700
2023-04-27 00:01:40,1682553700,AF***-RRAG,“突围大行动”武器箱,SSG 08 | 无尽深海,1682553700
2023-04-27 00:01:41,1682553701,AS***-YYDQ,Anubis Collection Package,AUG | Snake Pit,1682553701
2023-04-27 00:01:41,1682553701,S4***-95QG,Anubis Collection Package,XM1014 | Hieroglyph,1682553701
2023-04-27 00:01:43,1682553703,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553703
2023-04-27 00:01:44,1682553704,S4***-95QG,Anubis Collection Package,M249 | Submerged,1682553704
2023-04-27 00:01:45,1682553705,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553705
2023-04-27 00:01:45,1682553705,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553705
2023-04-27 00:01:46,1682553706,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 小宝咆哮,1682553706
2023-04-27 00:01:47,1682553707,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553707
2023-04-27 00:01:47,1682553707,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553707
2023-04-27 00:01:49,1682553709,A9***-P2VC,Anubis Collection Package,AUG | Snake Pit,1682553709
2023-04-27 00:01:49,1682553709,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553709
2023-04-27 00:01:49,1682553709,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553709
2023-04-27 00:01:50,1682553710,AS***-YYDQ,Anubis Collection Package,XM1014 | Hieroglyph,1682553710
2023-04-27 00:01:50,1682553710,AR***-L3UL,Anubis Collection Package,MP7 | Sunbaked,1682553710
2023-04-27 00:01:51,1682553711,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553711
2023-04-27 00:01:53,1682553713,AF***-RRAG,“突围大行动”武器箱,CZ75 | 猛虎,1682553713
