USERID	RG_case	CountryName	LanguageName	Gender	YearofBirth	Registration_date	First_Deposit_Date
2975944	1	Germany	German	M	1970	6/2/2006	6/9/2006
9822065	1	Germany.COM	German	F	1963	11/21/2009	11/21/2009
9622454	1	France.COM	French	F	1981	10/19/2009	10/19/2009
9619356	1	Italy.IT	Italian	F	1975	10/18/2009	10/18/2009
9593498	1	Germany.COM	German	F	1990	10/14/2009	10/14/2009
9562214	1	Netherlands	Dutch	F	1957	10/8/2009	10/8/2009
9531528	1	Argentina.AR	Spanish	F	1980	10/4/2009	10/5/2009
9484775	1	Spain	Spanish	F	1965	9/27/2009	9/27/2009
9303388	1	Austria	German	F	1981	9/1/2009	9/1/2009
9138407	1	United Kingdom	English	F	1991	8/5/2009	8/15/2009
9174350	1	France.COM	French	F	1976	8/12/2009	8/12/2009
9142202	1	Portugal	Portuguese	F	1987	8/6/2009	8/6/2009
9093813	1	Austria	German	F	1959	7/27/2009	7/27/2009
9065100	1	Germany.COM	German	F	1957	7/21/2009	7/22/2009
9029366	1	Czech Republic	Czech	F	1977	7/14/2009	7/19/2009
9016495	1	France.COM	French	F	1984	7/11/2009	7/11/2009
8988808	1	Germany.COM	German	F	1961	7/5/2009	7/5/2009
7035862	1	Belgium	French	F	1969	9/19/2008	6/26/2009
8876590	1	Germany.COM	German	F	1975	6/11/2009	6/11/2009
8824256	1	Germany.COM	German	F	1977	6/1/2009	6/1/2009
8745352	1	Germany.COM	German	F	1980	5/20/2009	5/20/2009
8737010	1	Spain	Spanish	F	1947	5/18/2009	5/18/2009
7311006	1	Poland	Polish	F	1957	11/2/2008	5/15/2009
3335713	1	Germany.COM	German	F	1987	6/29/2006	5/15/2009
8678849	1	Greece.BAW	Greek	F	1976	5/10/2009	5/12/2009
8585004	1	Hungary	Hungarian	F	1983	4/28/2009	4/28/2009
6770567	1	Germany.COM	German	F	1979	7/6/2008	4/27/2009
8495659	1	Germany.COM	German	F	1962	4/17/2009	4/17/2009
8485173	1	Germany.COM	German	F	1963	4/16/2009	4/16/2009
8223981	1	Switzerland	German	F	1989	3/16/2009	3/16/2009
8068361	1	France.COM	French	F	1976	2/27/2009	2/27/2009
7938906	1	Germany.COM	German	F	1928	2/8/2009	2/19/2009
7996728	1	Germany.COM	German	F	1950	2/17/2009	2/17/2009
7973162	1	Poland	Polish	F	1968	2/13/2009	2/13/2009
7956936	1	Poland	Polish	F	1978	2/10/2009	2/10/2009
6795757	1	Austria	German	F	1983	7/15/2008	2/6/2009
7878680	1	Slovenia	Slovenian	F	1968	1/30/2009	2/1/2009
