UserID	RGsumevents	RGFirst_Date	RGLast_date	Event_type_first	Interventiontype_first
2169867	1	11/19/2009	11/19/2009	9	18
7035862	1	11/15/2009	11/15/2009	9	18
5911218	1	11/8/2009	11/8/2009	9	18
5872708	1	11/3/2009	11/3/2009	9	18
5746942	2	10/18/2009	11/3/2009	9	18
2787151	1	10/27/2009	10/27/2009	9	18
8804356	1	10/25/2009	10/25/2009	9	18
4622241	1	9/29/2009	9/29/2009	9	18
6875004	1	9/20/2009	9/20/2009	9	18
2637579	1	9/16/2009	9/16/2009	9	18
6408147	1	9/2/2009	9/2/2009	9	18
1376503	1	8/31/2009	8/31/2009	9	18
5554333	1	8/31/2009	8/31/2009	9	18
1321102	1	8/27/2009	8/27/2009	9	18
2369090	1	8/27/2009	8/27/2009	9	18
1745784	1	8/25/2009	8/25/2009	9	18
5854655	1	8/20/2009	8/20/2009	9	18
3517053	1	8/13/2009	8/13/2009	9	18
6745993	1	8/9/2009	8/9/2009	9	18
9147789	1	8/9/2009	8/9/2009	9	18
5233791	1	4/14/2009	4/14/2009	9	18
6528968	2	3/10/2009	4/14/2009	9	18
5194256	1	2/27/2009	2/27/2009	9	18
5105138	2	12/19/2008	1/13/2009	9	18
2513495	1	12/23/2008	12/23/2008	9	18
5560128	1	11/27/2008	11/27/2008	9	18
4008596	1	2/17/2009	2/17/2009	2	18
9678591	2	11/1/2009	11/1/2009	10	17
7421159	2	12/24/2008	3/4/2009	8	17
3665378	1	9/16/2009	9/16/2009	10	16
3577635	1	3/25/2009	3/25/2009	10	16
4590533	1	11/3/2009	11/3/2009	8	16
5250620	1	7/7/2009	7/7/2009	8	16
679909	1	3/9/2009	3/9/2009	8	16
3458841	1	1/22/2009	1/22/2009	8	16
1690828	1	1/13/2009	1/13/2009	8	16
7976490	1	11/25/2009	11/25/2009	2	16
4888078	1	11/20/2009	11/20/2009	2	16
6600062	1	11/17/2009	11/17/2009	2	16
9377459	1	11/17/2009	11/17/2009	2	16
618006	1	11/15/2009	11/15/2009	2	16
3479664	2	1/12/2009	11/8/2009	2	16
1110869	1	11/5/2009	11/5/2009	2	16
5919839	1	11/5/2009	11/5/2009	2	16
1467698	1	11/3/2009	11/3/2009	2	16
3980898	1	11/3/2009	11/3/2009	2	16
921652	1	10/29/2009	10/29/2009	2	16
1230735	1	10/29/2009	10/29/2009	2	16
2132724	1	10/27/2009	10/27/2009	2	16
3142810	1	10/27/2009	10/27/2009	2	16
4211279	1	10/27/2009	10/27/2009	2	16
4782932	1	10/27/2009	10/27/2009	2	16
1528877	1	10/25/2009	10/25/2009	2	16
2031783	1	10/21/2009	10/21/2009	2	16
1053169	1	10/19/2009	10/19/2009	2	16
6788013	1	10/15/2009	10/15/2009	2	16
8850404	1	10/14/2009	10/14/2009	2	16
2035245	1	10/8/2009	10/8/2009	2	16
3464785	1	10/7/2009	10/7/2009	2	16
1055097	1	10/6/2009	10/6/2009	2	16
1137771	1	10/6/2009	10/6/2009	2	16
3333180	1	10/6/2009	10/6/2009	2	16
4236352	1	10/6/2009	10/6/2009	2	16
3344255	1	10/5/2009	10/5/2009	2	16
4111713	1	10/1/2009	10/1/2009	2	16
852596	1	9/30/2009	9/30/2009	2	16
1316554	1	9/30/2009	9/30/2009	2	16
2732649	1	9/30/2009	9/30/2009	2	16
1269446	1	9/24/2009	9/24/2009	2	16
4115065	1	9/24/2009	9/24/2009	2	16
1540796	2	8/27/2009	9/24/2009	2	16
2907188	2	11/7/2008	9/24/2009	2	16
5351172	2	2/5/2009	9/21/2009	2	16
1125602	1	9/20/2009	9/20/2009	2	16
762613	1	9/17/2009	9/17/2009	2	16
3834246	1	9/15/2009	9/15/2009	2	16
3211029	1	9/13/2009	9/13/2009	2	16
2108076	2	2/16/2009	9/13/2009	2	16
7355155	1	9/9/2009	9/9/2009	2	16
3524836	1	9/7/2009	9/7/2009	2	16
7701111	1	9/7/2009	9/7/2009	2	16
7223699	1	9/2/2009	9/2/2009	2	16
7926998	1	9/1/2009	9/1/2009	2	16
954936	1	8/31/2009	8/31/2009	2	16
3542327	1	8/31/2009	8/31/2009	2	16
4444971	1	8/25/2009	8/25/2009	2	16
7938906	1	8/25/2009	8/25/2009	2	16
1671815	1	8/24/2009	8/24/2009	2	16
2789254	1	8/23/2009	8/23/2009	2	16
2403003	1	8/20/2009	8/20/2009	2	16
4051960	1	8/17/2009	8/17/2009	2	16
654455	1	8/11/2009	8/11/2009	2	16
1280671	1	8/10/2009	8/10/2009	2	16
4764719	1	8/10/2009	8/10/2009	2	16
1102239	1	8/6/2009	8/6/2009	2	16
6600359	1	8/6/2009	8/6/2009	2	16
9140876	1	8/6/2009	8/6/2009	2	16
2141713	1	8/4/2009	8/4/2009	2	16
695820	1	7/28/2009	7/28/2009	2	16
1307000	1	7/27/2009	7/27/2009	2	16
1178665	1	7/24/2009	7/24/2009	2	16
